timestamp,roll,pitch,yaw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
2023-05-08 14:03:32.680540,2,358,165,0.15,0.49,9.48,0.001,-0.001,-0.001
2023-05-08 14:03:32.740540,2,358,164,0.14,0.48,9.49,0.001,-0.0,-0.001
2023-05-08 14:03:32.800545,2,358,164,0.15,0.49,9.49,-0.003,0.001,0.0
2023-05-08 14:03:32.860550,2,358,164,0.15,0.5,9.48,0.002,0.0,-0.001
2023-05-08 14:03:32.920552,2,358,164,0.14,0.49,9.47,0.001,0.002,-0.0
2023-05-08 14:03:32.980554,2,358,164,0.14,0.48,9.49,0.0,0.0,-0.001
2023-05-08 14:03:33.040558,2,358,163,0.15,0.49,9.47,-0.001,0.001,0.0
2023-05-08 14:03:33.100560,2,358,163,0.15,0.5,9.48,0.002,-0.001,0.0
2023-05-08 14:03:33.160563,2,358,163,0.16,0.5,9.48,0.0,0.001,-0.0
2023-05-08 14:03:33.220566,2,359,163,0.16,0.49,9.49,0.001,0.001,-0.001
